2019-04-02T11:20:35.059+0800 I CONTROL  [initandlisten] MongoDB starting : pid=1169 port=19999 dbpath=/Users/hebao/Desktop/notes/mongodb/data 64-bit host=M0053.local
2019-04-02T11:20:35.060+0800 I CONTROL  [initandlisten] db version v4.0.1
2019-04-02T11:20:35.060+0800 I CONTROL  [initandlisten] git version: 54f1582fc6eb01de4d4c42f26fc133e623f065fb
2019-04-02T11:20:35.060+0800 I CONTROL  [initandlisten] allocator: system
2019-04-02T11:20:35.060+0800 I CONTROL  [initandlisten] modules: none
2019-04-02T11:20:35.061+0800 I CONTROL  [initandlisten] build environment:
2019-04-02T11:20:35.061+0800 I CONTROL  [initandlisten]     distarch: x86_64
2019-04-02T11:20:35.061+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2019-04-02T11:20:35.061+0800 I CONTROL  [initandlisten] options: { config: "conf/mongod.conf", net: { port: 19999 }, processManagement: { fork: true }, storage: { dbPath: "data" }, systemLog: { destination: "file", path: "log/mongod.log" } }
2019-04-02T11:20:35.062+0800 W STORAGE  [initandlisten] Detected unclean shutdown - /Users/hebao/Desktop/notes/mongodb/data/mongod.lock is not empty.
2019-04-02T11:20:35.062+0800 I STORAGE  [initandlisten] Detected data files in /Users/hebao/Desktop/notes/mongodb/data created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2019-04-02T11:20:35.063+0800 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2019-04-02T11:20:35.063+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2019-04-02T11:20:39.114+0800 I STORAGE  [initandlisten] WiredTiger message [1554175239:114793][1169:0x7fffb2bda3c0], txn-recover: Main recovery loop: starting at 1/21760
2019-04-02T11:20:39.115+0800 I STORAGE  [initandlisten] WiredTiger message [1554175239:115493][1169:0x7fffb2bda3c0], txn-recover: Recovering log 1 through 2
2019-04-02T11:20:39.229+0800 I STORAGE  [initandlisten] WiredTiger message [1554175239:229712][1169:0x7fffb2bda3c0], txn-recover: Recovering log 2 through 2
